Dataset,Record ID
EPFLMouseLiverCDEx0413,10581157
EPFLMouseLiverCDEx0413,10581158
SUH_Liv_RMAEx_0611,10581152
SUH_Liv_RMAEx_0611,10581153
SUH_Liv_RMAEx_0611,10581154
SUH_Liv_RMAEx_0611,10581155
SUH_Liv_RMAEx_0611,10581156
SUH_Liv_RMAEx_0611,10581157
SUH_Liv_RMAEx_0611,10581158
EPFLMouseLiverHFCEx0413,10581152
EPFLMouseLiverHFCEx0413,10581153
EPFLMouseLiverHFCEx0413,10581154
EPFLMouseLiverHFCEx0413,10581155
EPFLMouseLiverHFCEx0413,10581156
EPFLMouseLiverHFCEx0413,10581157
EPFLMouseLiverHFCEx0413,10581158
UTHSC_BXD_HArev3_0912,10581151
HZI_LTCF_0313,A_51_P240253
UTHSC_GutExL_0414,10581152
UTHSC_GutExL_0414,10581153
UTHSC_GutExL_0414,10581154
UTHSC_GutExL_0414,10581155
UTHSC_GutExL_0414,10581156
UTHSC_GutExL_0414,10581157
UTHSC_GutExL_0414,10581158
INIA_AmgCoh_0311,10581151
SUH_Liv_RMA_0611,10581151
INIA_Hyp_RMA_1110,10581151
UTHSC_SPL_RMA_1210,10581151
EPFLMouseLiverHFDRMA0818,10581151
EPFLMouseLiverCDRMA0818,10581151
INIA_Amg_BLA_RMA_1110,10581151
UTHSC_SPL_RMA_1010,10581151
HZI_PR8M_Q_0612,A_51_P240253
UTHSC_BXD_AgeHipp0515,10581151
BR_U_0805_M,96585_at
BR_U_0805_M,97319_at
BR_U_0805_P,96585_at
BR_U_0805_P,97319_at
BR_U_0805_R,96585_at
BR_U_0805_R,97319_at
UTHSC_BXD_MamGland_cpm_0322,NM_019662
UTHSC_BXD_MamGland_tum_0322,NM_019662
UTHSC_BXD_MamGland_cpmNtum_0322,NM_019662
Striatum_Exon_1212,6984927
DoDRetBlastvsNormalEx_0416,17512322
DoDRetBlastvsNormalEx_0416,17512323
DoDRetBlastvsNormalEx_0416,17512324
DoDRetBlastvsNormalEx_0416,17512325
DoDRetBlastvsNormalEx_0416,17512326
DoDRetBlastvsNormalEx_0416,17512327
DoDRetBlastvsNormalEx_0416,17512328
DoDRetBlastvsNormal_0416,17512321
EPFLADEL1013,17512322
EPFLADEL1013,17512323
EPFLADEL1013,17512324
EPFLADEL1013,17512325
EPFLADEL1013,17512326
EPFLADEL1013,17512327
EPFLADEL1013,17512328
DoDTATRCRetBLMoGene2_0316,17512321
INIA_Hyp_RMA_Ex-1110,10581152
INIA_Hyp_RMA_Ex-1110,10581153
INIA_Hyp_RMA_Ex-1110,10581154
INIA_Hyp_RMA_Ex-1110,10581155
INIA_Hyp_RMA_Ex-1110,10581156
INIA_Hyp_RMA_Ex-1110,10581157
INIA_Hyp_RMA_Ex-1110,10581158
EPFLADGL1013,17512321
UTHSC_BXD_MamGland_ca_0322,NM_019662
UTHSC_BXD_MamGland_tpmLog2_0124,ENSMUSG00000031880
DoDCMMRPRetMoGene2_0515,17512321
DoDCMMRPRetMoGene2Ex_0515,17512322
DoDCMMRPRetMoGene2Ex_0515,17512323
DoDCMMRPRetMoGene2Ex_0515,17512324
DoDCMMRPRetMoGene2Ex_0515,17512325
DoDCMMRPRetMoGene2Ex_0515,17512326
DoDCMMRPRetMoGene2Ex_0515,17512327
DoDCMMRPRetMoGene2Ex_0515,17512328
DoDTATRCRetBLMoGene2E_0316,17512322
DoDTATRCRetBLMoGene2E_0316,17512323
DoDTATRCRetBLMoGene2E_0316,17512324
DoDTATRCRetBLMoGene2E_0316,17512325
DoDTATRCRetBLMoGene2E_0316,17512326
DoDTATRCRetBLMoGene2E_0316,17512327
DoDTATRCRetBLMoGene2E_0316,17512328
BR_U_1105_P,96585_at
BR_U_1105_P,97319_at
UTHSC_BXDOldEyeRNAseq_DESeq2-rlog2_0422,ENSMUSG00000031880
UTHSC_BXDYgEyeRNAseq_DESeq2-rlog2_0422,ENSMUSG00000031880
UTHSC_BXD_MamGlandTOnly_tpmLog2_0124,ENSMUSG00000031880
INIA_Adrenal_RMA_0612,10581151
INIA_PG_RMA_0612,10581151
VUBXDMouseMidBrainQ0512,A_51_P240253
INIA_Pituitary_RMA_M_0612,10581151
UT-VGX_HEL1014,10581152
UT-VGX_HEL1014,10581153
UT-VGX_HEL1014,10581154
UT-VGX_HEL1014,10581155
UT-VGX_HEL1014,10581156
UT-VGX_HEL1014,10581157
UT-VGX_HEL1014,10581158
INIA_Adrenal_RMA_M_0612,10581151
INIA_Adrenal_RMA_F_0612,10581151
INIA_Pituitary_RMA_F_0612,10581151
UTHSC-VGX_MmBXDHepatocytesRMA1014,10581151
INIA_Adrenal_RMA_Ex_0612,10581152
INIA_Adrenal_RMA_Ex_0612,10581153
INIA_Adrenal_RMA_Ex_0612,10581154
INIA_Adrenal_RMA_Ex_0612,10581155
INIA_Adrenal_RMA_Ex_0612,10581156
INIA_Adrenal_RMA_Ex_0612,10581157
INIA_Adrenal_RMA_Ex_0612,10581158
INIA_Amg_BLA_Ex-RMA_1110,10581152
INIA_Amg_BLA_Ex-RMA_1110,10581153
INIA_Amg_BLA_Ex-RMA_1110,10581154
INIA_Amg_BLA_Ex-RMA_1110,10581155
INIA_Amg_BLA_Ex-RMA_1110,10581156
INIA_Amg_BLA_Ex-RMA_1110,10581157
INIA_Amg_BLA_Ex-RMA_1110,10581158
INIA_PG_RMA_Ex_0612,10581152
INIA_PG_RMA_Ex_0612,10581153
INIA_PG_RMA_Ex_0612,10581154
INIA_PG_RMA_Ex_0612,10581155
INIA_PG_RMA_Ex_0612,10581156
INIA_PG_RMA_Ex_0612,10581157
INIA_PG_RMA_Ex_0612,10581158
UTHSCWGU88BFFG1013,17512321
STJ_PLN_0912,1422562_PM_at
LV_G_0106_B,A_51_P393223
LV_G_0704_A,A_51_P393223
HC_U_0304_R,96585_at
HC_U_0304_R,97319_at
EPFL-LISPBXDHeHFD0114,17512321
UTHSCWGU88BFMEx1013,17512322
UTHSCWGU88BFMEx1013,17512323
UTHSCWGU88BFMEx1013,17512324
UTHSCWGU88BFMEx1013,17512325
UTHSCWGU88BFMEx1013,17512326
UTHSCWGU88BFMEx1013,17512327
UTHSCWGU88BFMEx1013,17512328
LV_G_0704_R,A_51_P393223
EPFL-LISPBXDHeCDEx0114,17512322
EPFL-LISPBXDHeCDEx0114,17512323
EPFL-LISPBXDHeCDEx0114,17512324
EPFL-LISPBXDHeCDEx0114,17512325
EPFL-LISPBXDHeCDEx0114,17512326
EPFL-LISPBXDHeCDEx0114,17512327
EPFL-LISPBXDHeCDEx0114,17512328
UTHSCWGU88BFFEx1013,17512322
UTHSCWGU88BFFEx1013,17512323
UTHSCWGU88BFFEx1013,17512324
UTHSCWGU88BFFEx1013,17512325
UTHSCWGU88BFFEx1013,17512326
UTHSCWGU88BFFEx1013,17512327
UTHSCWGU88BFFEx1013,17512328
EPFL-LISPBXDHeHFDEx0114,17512322
EPFL-LISPBXDHeHFDEx0114,17512323
EPFL-LISPBXDHeHFDEx0114,17512324
EPFL-LISPBXDHeHFDEx0114,17512325
EPFL-LISPBXDHeHFDEx0114,17512326
EPFL-LISPBXDHeHFDEx0114,17512327
EPFL-LISPBXDHeHFDEx0114,17512328
EPFL-LISPBXDHeCD0114,17512321
LV_G_0106_M,A_51_P393223
LV_G_0106_F,A_51_P393223
UTHSCWGU88BFMG1013,17512321
UTHSC-Neut-1014,17512321
UTHSC-Neut_EL-1014,17512322
UTHSC-Neut_EL-1014,17512323
UTHSC-Neut_EL-1014,17512324
UTHSC-Neut_EL-1014,17512325
UTHSC-Neut_EL-1014,17512326
UTHSC-Neut_EL-1014,17512327
UTHSC-Neut_EL-1014,17512328
HZI_PR8M-F_1014,NM_019662
EL_BXDHFDScWAT_0216,TC0800002807.mm.1
EL_BXDCDScWAT_0216,TC0800002807.mm.1
EL_BXDCDHFDScWAT_0216,TC0800002807.mm.1
UTHSC_BXD_Hip_PostD7CtrlBS_1121,TC0800002807.mm.2
UTHSC_BXD_Hip_PostD7EtohBS_1121,TC0800002807.mm.2
UTHSC_BXD_Hip_PostD7CtrlF_1121,TC0800002807.mm.2
UTHSC_BXD_Hip_PostD7CtrlM_1121,TC0800002807.mm.2
UTHSC_BXD_Hip_PostD7EtohF_1121,TC0800002807.mm.2
UTHSC_BXD_Hip_PostD7EtohM_1121,TC0800002807.mm.2
UTHSC-BXD-Harv_Liv_TPM_log2_1019,ENSMUST00000034351
JAX_BXD_AD_GSE101144_1124,ENSMUSG00000057722
UMUTAffyExon_0209_RMA,4846815
Striatum_Exon_0209,4753173
Striatum_Exon_0209,5479792
Striatum_Exon_0209,4726997
UMUTAffyExon_0209_RMA,4970638
UMUTAffyExon_0209_RMA,5006003
UMUTAffyExon_0209_RMA,5479792
Striatum_Exon_0209,4970638
Striatum_Exon_0209,5006003
Striatum_Exon_0209,5110442
Striatum_Exon_0209,5118932
HZI_LungBXD_RNA-Seq_1116,ENSMUSG00000031880
UMUTAffyExon_0209_RMA,4527235
UMUTAffyExon_0209_RMA,5110442
UMUTAffyExon_0209_RMA,5118932
UMUTAffyExon_0209_RMA,5182277
Striatum_Exon_0209,5182277
UMUTAffyExon_0209_RMA,4726997
UMUTAffyExon_0209_RMA,4753173
CRTD_HipPreCell1214,ILM-R13_56437
Striatum_Exon_0209,4846815
Striatum_Exon_0209,4527235
EPFL-LISP_BXD_Col-HFD0917,TC0800002807.mm.2
HZI_LungBXD_RNA-Seq_1116,ENSMUSG00000042258
UTHSC_BXD_MamGlandTOnly_tpmLog2_0124,ENSMUSG00000057722
UTHSC_BXD_MamGland_tpmLog2_0124,ENSMUSG00000057722
UTHSC_BXDOldEyeRNAseq_DESeq2-rlog2_0422,ENSMUSG00000057722
UTHSC_BXDYgEyeRNAseq_DESeq2-rlog2_0422,ENSMUSG00000057722
EPFL-LISP_BXD_Col-CD0917,TC0800002807.mm.2
GenEx_BXD_CerebEt_RMA_0213,1415876_a_at
MA_M2_0806_P,1415876_a_at
MA_M2_0806_R,1415876_a_at
Eye_M2_0908_R_NB,1415876_a_at
GenEx_BXD_liverSal_RMA_0211,1415876_a_at
GenEx_BXD_liverSal_RMA_M_0211,1415876_a_at
GSE16780_UCLA_ML0911,1415876_a_at_A
CB_M_0305_P,1415876_a_at_A
CB_M_0305_R,1415876_a_at_A
Eye_M2_0908_R,1415876_a_at
IoP_SPL_RMA_0509,1415876_a_at
GCB_M2_0505_R,1415876_a_at
GCB_M2_0505_P,1415876_a_at
NIA-AgBXD-Liv_CD-0818,TC0800002807.mm.2
HC_M2_0606_R,1415876_a_at
HC_M2_0606_M,1415876_a_at
GenEx_BXD_liverEt_RMA_0211,1415876_a_at
CB_M_1004_M,1415876_a_at_A
CB_M_1004_P,1415876_a_at_A
GenEx_BXD_CerebEt_RMA_F_0213,1415876_a_at
GenEx_BXD_CerebEt_RMA_M_0213,1415876_a_at
IBR_M_0106_P,1415876_a_at_A
CB_M_1003_M,1415876_a_at_A
gn10,1415876_a_at
GenEx_BXD_liverEt_RMA_M_0211,1415876_a_at
GenEx_BXD_liverEt_RMA_F_0211,1415876_a_at
GenEx_BXD_liverSal_RMA_F_0211,1415876_a_at
Eye_M2_0908_WTWT,1415876_a_at
UCLA_BXD_Liv_Jan16,1415876_a_at
UCLA_BXD_Aor_Jan16,1415876_a_at
Eye_M2_0908_R_ND,1415876_a_at
CB_M_1004_R,1415876_a_at_A
CB_M_0305_M,1415876_a_at_A
Eye_M2_0908_R_MT,1415876_a_at
Eye_M2_0908_R_WT,1415876_a_at
GenEx_BXD_liverEt_M5_0912,1415876_a_at
GenEx_BXD_liverEt_M5M_0912,1415876_a_at
GenEx_BXD_liverEt_M5F_0912,1415876_a_at
NIA-AgBXD-Liv_CDHFD-0818,TC0800002807.mm.2
NIA-AgBXD-Liv_HFD-0818,TC0800002807.mm.2
HC_M2_0606_P,1415876_a_at
IBR_M_0606_R,1415876_a_at_A
SA_M2_0405_MC,1415876_a_at
BR_M2_1106_R,1415876_a_at
CB_M_0204_P,1415876_a_at_A
MA_M2_0706_R,1415876_a_at
MA_M2_0706_P,1415876_a_at
SA_M2_0405_RC,1415876_a_at
GCB_M2_0505_M,1415876_a_at
BXD_GLA_0911,1415876_a_at
MA_M2F_0706_R,1415876_a_at
MA_M2M_0706_R,1415876_a_at
GenEx_BXD_CerebSal_RMA_M_0213,1415876_a_at
HZI_0408_R,1415876_a_at
HZI_0408_M,1415876_a_at
SA_M2_0405_RR,1415876_a_at
SA_M2_0405_PC,1415876_a_at
IBR_M_0106_R,1415876_a_at_A
GenEx_BXD_CerebSal_RMA_0213,1415876_a_at
GenEx_BXD_CerebSal_RMA_F_0213,1415876_a_at
HC_M2_1205_P,1415876_a_at
NIA-AgBXD-Liv_CD-rna-seq-0818,ENSMUST00000034351
UTHSC_BXD_WB_RNASeqEx1112,NM_010704_1
NIA-AgBXD-Liv_CDHFD-rna-seq-0818,ENSMUST00000034351
NIA-AgBXD-Liv_HFD-rna-seq-0818,ENSMUST00000034351
UTHSC_BXD_WB_RNASeqEx1112,NM_146146_1
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_1
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_2
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_3
UTHSC_BXD_WB_RNASeqEx1112,NM_001122899_4
